timestamp_ms,state,event,queue_depth,s0_pos,s1_pos,s2_pos,servo0_angle,tune_string,tune_attempt,measured_hz,target_hz,tune_servo_angle,note_index,note_string
1401,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1402,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1403,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1404,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1405,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1407,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1408,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1409,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1410,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1411,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1412,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1413,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1414,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1416,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1417,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1418,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1420,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1421,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1422,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1423,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1424,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1425,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1427,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1428,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1429,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1430,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1431,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1432,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1434,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1435,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1436,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
